Month,Total population,Landed immigrants,"Immigrants, landed 5 or less years earlier","Immigrants, landed more than 5 to 10 years earlier","Immigrants, landed more than 10 years earlier",Born in Canada
09-Nov,61.6,56.3,58.5,62.8,54.5,63.2
09-Dec,61.4,56.3,59,62.8,54.4,62.9
10-Jan,60.9,55.9,59.3,62.5,53.9,62.4
10-Feb,60.5,55.6,57.6,62.5,53.9,62
10-Mar,60.2,55.5,56.7,62.5,54,61.7
10-Apr,60.5,55.6,56.5,62.8,54.1,62
10-May,61.1,55.9,56.4,63.5,54.4,62.7
10-Jun,62,56.4,56.7,64.7,54.7,63.7
10-Jul,62.6,56.8,57.5,65.5,54.8,64.4
10-Aug,62.8,57,58.5,65.4,54.9,64.6
10-Sep,62.4,57,58.6,64.9,55,64
10-Oct,62.1,57.1,58.4,65.1,55.2,63.6
10-Nov,61.8,57,58,65.7,54.9,63.3
10-Dec,61.6,56.7,57.2,66.6,54.4,63.2
11-Jan,61.2,56.3,56.2,67.2,54.1,62.8
11-Feb,60.9,55.9,55.2,67.3,54,62.5
11-Mar,60.7,55.7,55,66.9,53.9,62.2
11-Apr,60.9,55.9,55.7,65.7,54.1,62.4
11-May,61.4,56.3,56.9,64.7,54.6,63
11-Jun,62.3,56.9,58.5,64.3,55.2,63.9
11-Jul,62.9,57.2,59.3,64.8,55.4,64.6
11-Aug,63,57.3,60,65.2,55.2,64.7
11-Sep,62.6,57,59.8,64.5,54.9,64.3
11-Oct,62.2,56.8,59.1,63.9,54.9,63.9
11-Nov,61.9,56.6,57.3,64.2,54.9,63.5
11-Dec,61.6,56.6,56.1,65,54.8,63.2
12-Jan,61.1,56.3,55.7,65.3,54.6,62.6
12-Feb,60.7,56.2,55.6,65.3,54.5,62.1
12-Mar,60.5,56.3,56.1,65.6,54.6,61.9
12-Apr,60.9,56.8,56.8,66,55.1,62.2
12-May,61.6,57.4,58.6,65.8,55.6,62.9
12-Jun,62.3,57.9,59.6,66.2,55.9,63.8
12-Jul,62.8,58.1,61.2,66.6,55.8,64.3
12-Aug,62.9,58.3,62.1,67.2,55.7,64.4
12-Sep,62.7,58.4,62.7,67.2,55.8,64
12-Oct,62.5,58.4,62,66.7,56,63.7
12-Nov,62.2,58.2,61.1,66.5,55.9,63.4
12-Dec,62.1,57.9,59.7,66.6,55.6,63.4
13-Jan,61.7,57.3,58.9,66.9,55.1,63
13-Feb,61.4,56.9,57.9,67.4,54.7,62.8
13-Mar,61.1,56.6,58.1,66.6,54.6,62.5
13-Apr,61.3,56.8,58.3,66.8,54.8,62.6
13-May,61.8,57.2,59,66.4,55.3,63.2
13-Jun,62.5,57.9,59.6,66.8,55.9,64
